id,title,summary,domain,kind,collection,source,sourceUrl,reach,priority,status
wd-q18236034,Chum Foon-hei,Candidate record imported from Wikidata.,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q18236034,2,False,Discovery lead
wd-q2972393,Cillit Bang,Range of cleaning product,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q2972393,4,False,Discovery lead
wd-q140762978,Cockmongler,2000s Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q140762978,0,False,Discovery lead
wd-q89756027,Coffin Dance,Ghanaian dancing pallbearers,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q89756027,22,False,Discovery lead
wd-q127817789,cone-ing,prank video fad involving ordering ice cream at a drive-thru and grabbing it by the ice cream instead of the cone,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q127817789,0,False,Discovery lead
wd-q123944405,Cop slide,internet phenomenon,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q123944405,2,False,Discovery lead
wd-q110903089,copium,metaphorical opiate,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q110903089,2,False,Discovery lead
wd-q88029483,Corona-chan,moe anthropomorphic character of the COVID-19 virus and Internet meme.,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q88029483,5,False,Discovery lead
wd-q97421594,Countryhumans,anthropomorphic versions of Polandball characters,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q97421594,4,False,Discovery lead
wd-q30097292,covfefe,"word used by Donald Trump on Twitter, probably resulting from a typo",Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q30097292,20,False,Discovery lead
wd-q11964168,crabcore,music genre,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q11964168,2,False,Discovery lead
wd-q137921480,Crazy Error,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q137921480,0,False,Discovery lead
wd-q8344306,Cristal,Chilean beer brand,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q8344306,4,False,Discovery lead
wd-q24044993,Crying Jordan,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q24044993,2,False,Discovery lead
wd-q96375753,cursed image,images perceived as mysterious or disturbing,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q96375753,9,False,Discovery lead
wd-q115420831,dabloon,fictional currency from TikTok,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q115420831,1,False,Discovery lead
wd-q23680106,Damn Daniel,2016 viral video,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q23680106,2,False,Discovery lead
wd-q135276283,Dança do Siri,internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q135276283,0,False,Discovery lead
wd-q24106814,Dat Boi,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q24106814,2,False,Discovery lead
wd-q135913862,Daughterjak,"internet meme, variant of Wifejak",Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q135913862,0,False,Discovery lead
wd-q139553915,Deauueaugh,"voice sound effect from SpongeBob SquarePants, as a meme",Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q139553915,0,False,Discovery lead
wd-q136389267,Destercha,Candidate record imported from Wikidata.,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q136389267,2,False,Discovery lead
wd-q108744576,devious lick,"2021 Internet trend involving the theft of items, typically from schools",Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q108744576,3,False,Discovery lead
wd-q126209651,Dirt Man,internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q126209651,0,False,Discovery lead
wd-q106687028,Disaster Girl,photograph that became a meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q106687028,11,False,Discovery lead
wd-q5288281,Dog shaming,internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q5288281,1,False,Discovery lead
